#INFO,Created=1667883295508,,,StoreCategory,,, Indicates missing required fields,, Indicates missing item specific that will be required soon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#INFO,Version=1.0,,Template=fx_category_template_EBAY_US,,,, Indicates missing recommended item specific,, Indicates item specific does not apply to this item/category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#INFO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Action(SiteID=US|Country=US|Currency=USD|Version=1193),Custom label (SKU),ItemID,Category ID,StoreCategory,Title,Relationship,Relationship details,P:UPC,Start price,Quantity,Item photo URL,Condition ID,Description,Format,Duration,Immediate pay required,PostalCode,Max dispatch time,Shipping profile name,Return profile name,Payment profile name,C:Brand,C:MPN,WeightMajor,WeightMinor,WeightUnit,PackageDepth,PackageLength,PackageWidth,C:Type,,,,,,,,,,,,,,,,,
Add,Fender-Frontman-10G Combo-GGC-25,,308,50079214012,"Fender Frontman 10G Combo Amplifier Cover | Select Color, Pockets, etc",,Model=10G Combo|Fabric = Choice Waterproof Fabric;Choice Waterproof Fabric w/ Padding;Premium Synthetic Leather;Premium Synthetic Leather w/ Padding|Color=Pitch-Black;Pacific-Blue;Toasty-Tan;Magnificent-White;Royal-Purple;Jade-Green;Orange-Tea;Cloudy-Gray;Fire-Engine-Red;Marbled-Brown|Pick-Pocket = No Pick-Pocket; Yes Pick-Pocket|Zipper Handle = No Zipper Handle;Yes Zipper Handle,,,,https://giggearcovers.com/01-gac-l-3000x1501-2/,1000,"<meta charset='utf-8'>
  <meta name='viewport' content='width=device-width, initial-scale=1.0'>
  <title>eBay Item Listing</title>
  <style>
    /* Your existing styles remain unchanged */

    body {
      font-family: Arial, sans-serif;
      margin: 20px;
      color: black;
    }

    h2 {
      color: #7552D2;
    }

    h1 {
      color: #7552D2;
    }

    img {
      max-width: 100%;
      height: auto;
      border-radius: 10px;
      border: 3px solid #7552D2;
      margin-bottom: 10px;
    }

    .title-bar {
      background-color: #000;
      color: #fff;
      padding: 10px;
      border-radius: 15px;
      border: 3px solid #7552D2;
      margin-bottom: 20px;
      display: flex;
      justify-content: center;
      align-items: center;
    }

    .title-bar img {
      max-width: 100%;
      height: auto;
    }

    .title-bar h1 {
      text-align: center;
      margin: 0;
    }

    .right-column {
      text-align: center;
    }

    .container {
      display: flex;
      justify-content: space-between;
      flex-wrap: wrap;
    }

    .column {
      width: 48%;
      margin-bottom: 20px;
    }

    .single-column {
      width: 100%;
      margin-top: 20px;
      border-radius: 10px;
      border: 3px solid #7552D2;
    }

    .single-column-text {
      background-color: #808080;
      padding: 20px;
      border-radius: 10px;
      text-align: center;
      color: black;
    }

    .single-column-text p {
      margin-bottom: 20px;
    }

    video {
      width: 100%;
      border-radius: 10px;
      border: 3px solid #7552D2;
    }
  </style>




  
  
  
  <!-- eBay Item Listing Title Bar -->
  <div class='title-bar'>
    
    <!-- Title Text -->
      <h1>Fender Frontman 10G Combo Guitar Amplifier Cover</h1>
     
   
      <!-- Brand Logo (Half Size) -->
 
     
    
    </div>
  <img src='https://giggearcovers.com/ggcULD/cropped-Logo-WhyBuy.jpg' alt='Brand Logo'>
  



   
  </div>
  
  
  
  <div class='container'>
    <!-- Left Column for Primary Image -->
    <div class='column'>
      <!-- Primary Image -->
      <img src='https://giggearcovers.com/wp-content/ggcuploads/gac-pbk-01-psl.webp' alt='Main Image' class='image-placeholder'>
      <!-- Additional Text in the Left Column -->
      <div style='text-align: center;'>
        <div style='text-align: center;'><font color='#544094'><i>Our covers look great and add a touch of&nbsp;class to
              your amplifier setup that complements any stage or studio setting.</i></font></div>
        <div style='text-align: left;'><br></div>
        <div style='text-align: left;'><b>If you do not have this Fender Frontman 10G Combo model, do not order. It will not fit properly. Contact us, give us your model number and we can get you what you need.</b></div><div style='text-align: center;'><b><font color='#9e2048'>**********************************************************************</font></b></div><div style='text-align: left;'><div class='item-description' style='text-align: center; '>IMPORTANT ORDERING INFORMATION</div><div class='single-column-text'><h2 style='text-align: center;'><b style='color: rgb(0, 0, 0); font-size: medium; text-align: left; background-color: rgb(255, 255, 255);'><font color='#9e2048'>See below for colors available for each fabric.</font></b><span style='color: rgb(0, 0, 0); font-size: medium; font-weight: 400; text-align: left; background-color: rgb(255, 255, 255);'>&nbsp;</span></h2><div style='text-align: left;'><span style='text-align: left;'></span></div><div style='text-align: left;'><span style='text-align: left;'><br></span></div><div><span style='text-align: left;'><b>Premium Synthetic Leather:</b></span></div><div> 
        
        
        <img src='https://giggearcovers.com/ggcULD/02a-gac-l-3000x1500.webp' alt='Main Image' class='image-placeholder'>
        
    
        
        <span style='text-align: left;'>&nbsp;DCFY-Purple, Magnificent-White, Pacific-Blue, Pitch-Black, Toasty-Tan, Toasty-Tan, Orange-Tea, Cloudy-Gray, Marbled-Brown, Fire-Engine-Red & Forest-Green</span></div><div><span style='text-align: left;'><br></span></div><div><span style='text-align: left;'><b>'Choice' Waterproof Fabric:</b>&nbsp;</span></div><div><img src='https://giggearcovers.com/ggcULD/02b-gac-c-3000x1500.jpg' alt='Main Image' class='image-placeholder'><span style='text-align: left;'>Pacific-Blue, Pitch-Black &amp; Toasty-Tan</span></div><div style='text-align: left;'><br></div><div style='text-align: left;'></div></div><div style='text-align: center;'></div></div><div style='text-align: center;'><b><font color='#9e2048'>**********************************************************************</font></b></div><div style='text-align: left;'><span style='text-align: center;'><br></span></div>
        
        
        
        <h2>The ordering process</h2>
        <img src='https://giggearcovers.com/ggcULD/woman-cell-phone-ordering-5.jpg' alt='Main Image' class='image-placeholder'>
      

      <b>Place your order!</b></br></br>
      <ol style='text-align: left; margin-left: 0;'>
      <li>Choose your fabric type.</li>

<li>Select your color.</li>

<li>Select a padding option.</li>

<li>Let us know if you want to have a zipper added to your amp handle opening.</li>

<li>Choose to have a pocket installed, or not.</li></ol>


<h2>Verification</h2>
        <img src='https://giggearcovers.com/ggcULD/man-taking-order.jpg' alt='Main Image' class='image-placeholder'>
      

      <b>All of our covers are custom made upon order, here in the U.S.A.</b></br></br>
      <ul style='text-align: left; margin-left: 0;'>
      
      
      <li>We send a verification message confirming the name of the item you purchased, AND the measurements of that item we have on file.</li>
<li>It lists the options you selected. i.e. color, padding, fabric type, etc . . .</li>
<li>Please look for this message. We found customers sometimes accidentally order the wrong item, or pick the wrong options..</li></ol>
      
      
   <h2>Your cover is made.</h2>
        <img src='https://giggearcovers.com/ggcULD/Making-Covers.jpg' alt='Main Image' class='image-placeholder'>
        
        <b>We then get those measurements to our sewers.</b></br>

Our team of sewers work diligently to get your cover made as quick as possible, usually within 3 days it is ready to ship.
      

    <div class=''single-column-text''>
        <h2 style=''text-align: left;''>SHIPPING/REFUNDS/RETURNS</h2>
        <div style=''text-align: left;''>
          <div><b>All items are custom made and take approximately 3-4 business days before shipping</b>. You can upgrade
            to expedited shipping.</div>
          <div><br></div>
          <div>This speeds up the actual shipping time. It does not affect the turn-around time to actually make your
            cover.</div>
          <div><br></div>
        </div>
        <div style=''text-align: left;''>1. We offer free USPS standard shipping within the U.S. If you would like priority mailing or shipping via another carrier, please let us know.</div><div style=''text-align: left;''><br></div>
        <div style=''text-align: left;''>2. As all items are custom-made, if you ordered the correct cover for your amp and what you receive does not fit for some reason, we will work with you to send a replacement cover.</div><div style=''text-align: left;''><br></div>
        <div style=''text-align: left;''>3. If you get the cover and it doesn't fit, because the&nbsp; wrong cover was ordered by
          mistake, we will work with you to rectify the problem.&nbsp;But, since these are custom made, we cannot offer full refunds.</div><div style=''text-align: left;''><br></div><div style=''text-align: left;''>All returns are payable by the customer, unless a mistake was made on our end.</div><div style=''text-align: left;''><br></div>
        <div style=''text-align: left;''>4. We will always do our best to make sure you're taken care of.</div>
        <div style=''text-align: left;''></div>
      </div>
      <div style=''text-align: center;''>
        <div style=''text-align: left;''>Images DO NOT necessarily represent the specific size/shape of your cover.</div>
        <div style=''text-align: left;''>The cover will come for the model # in the listing title.</div><br>NOTE: Custom
        made covers can take up to 3 days to be created.
      </div>  
      
    
        
      </div>
    </div>
    <!-- Right Column for Text -->
    <div class='column'>
      <!-- eBay Item Description -->
      <div class='item-description'>
        <h3>
          <div style='text-align: center;'>Introducing your amplifier's best friend</div>
          <div style='text-align: center;'>The GGC® Guitar Amplifier Cover <br> for your <br></div></h3><div style='text-align: center;'><h2> Fender Frontman 10G Combo Guitar Amplifier<br></h2></div>
          <div style='text-align: center; '><h2>************************************************</h2></div><p class=''additional-description''><strong>🎸 [Enhance your amplifier's]</strong> lifespan and performance with the durable and stylish GGC® Guitar Amplifier Cover.&nbsp;</p> <p class=''additional-description''><strong>🧽[No Fuss Cleaning &amp; Maintenance]</strong>&nbsp;Use a damp cloth and/or a non-abrasive cleaning solution.&nbsp;<p class=''additional-description''><strong>🧵 [Premium Materials] All materials purchased in the USA.&nbsp;</strong>Our
        'Choice' amp covers are made from high-quality Cordura fabric that is both waterproof &amp;
        lightweight yet offers exceptional durability.</p><i><b>For protection that's as exceptional as your music, order today &amp; let your amp shine. Onstage and off!</b></i></span></div><div style='text-align: center;'><h4><font color='Red'>Not Your Model?</font></h4><a href='https://www.ebay.com/str/dcfymusiccovers'><h5>Visit our store or message us</h5></a></div>

        <!-- Embedded Video -->
        <video controls=''''>
          <source src=''https://giggearcovers.com/ggcULD/Choice-Fabric-Test-Video.mp4'' type=''video/mp4''>
          Your browser does not support the video tag.
        </video>
        
        <div style='text-align: center; '>
        <h2>FIRST-QUALITY FABRICS</h2>
        <img src='https://giggearcovers.com/ggcULD/cordura_Colors_512hw.webp' alt='Main Image' class='image-placeholder'>
  
<div style='text-align: center; '> <strong>We're not just another cheap material music equipment cover company.</strong></div></br></br>

<p>We take pride in using top quality brands such as <strong>Cordura</strong>, which was developed right here in the U.S.

We also use Denali, Ottertex and other top-notch brands.</p>
<h2>What about the stitching?</h2>
<img src='https://giggearcovers.com/ggcULD/stitches_512hw.webp' alt='Main Image' class='image-placeholder'>
      
      <div style='text-align: center; '> <strong>We use Amann Strongbond Nylon Bonded thread, Tex 70 weight to keep your cover together.</strong></div></br>

<div style='text-align: left; '>We feel its necessary to use high quality thread when building an amp cover. <strong>Why?</strong></div></br>
<div style='text-align: left; '>We want to make sure your cover will not fall apart.</div></br>





      <!-- Moved content to the right column -->
      
    </div>
  </div>",FixedPrice,GTC,1,78028,3,Flat-Fee,Returns - 14 Days,ImmediatePay,Gig Gear Covers,,1,0,lb,12,15,1,,,,,,,,,,,,,,,,,,
,Frontman-10G Combo-c-pbk-pn-zn-25,,,,,Variation,Model=10G Combo|Fabric=Choice Waterproof Fabric|Color=Pitch-Black|Pick-Pocket=No Pick-Pocket|Zipper Handle=No Zipper Handle,DoesNotApply,46.50,5,Pitch-Black=https://giggearcovers.com/wp-content/ggcuploads/gac-pbk-01-c.webp|https://giggearcovers.com/02b-gac-c-3000x1500/|https://giggearcovers.com/02a-gac-l-3000x1500/|https://giggearcovers.com/03-gac-benefits-3000x1500-3/|https://giggearcovers.com/04-gac-zipper-handle-3000x1500-3/|https://giggearcovers.com/05-gac-2-1-pocket-3000x1500-3/|https://giggearcovers.com/06-gac-ggclogo-3000x1500-3/||,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
,Frontman-10G Combo-c-pbk-pn-zy-25,,,,,Variation,Model=10G Combo|Fabric=Choice Waterproof Fabric|Color=Pitch-Black|Pick-Pocket=No Pick-Pocket|Zipper Handle=Yes Zipper Handle,DoesNotApply,58.50,5,Pitch-Black=https://giggearcovers.com/wp-content/ggcuploads/gac-pbk-01-c.webp|https://giggearcovers.com/02b-gac-c-3000x1500/|https://giggearcovers.com/02a-gac-l-3000x1500/|https://giggearcovers.com/03-gac-benefits-3000x1500-3/|https://giggearcovers.com/04-gac-zipper-handle-3000x1500-3/|https://giggearcovers.com/05-gac-2-1-pocket-3000x1500-3/|https://giggearcovers.com/06-gac-ggclogo-3000x1500-3/||,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
,Frontman-10G Combo-c-pbk-py-zn-25,,,,,Variation,Model=10G Combo|Fabric=Choice Waterproof Fabric|Color=Pitch-Black|Pick-Pocket=Yes Pick-Pocket|Zipper Handle=No Zipper Handle,DoesNotApply,76.50,5,Pitch-Black=https://giggearcovers.com/wp-content/ggcuploads/gac-pbk-01-c.webp|https://giggearcovers.com/02b-gac-c-3000x1500/|https://giggearcovers.com/02a-gac-l-3000x1500/|https://giggearcovers.com/03-gac-benefits-3000x1500-3/|https://giggearcovers.com/04-gac-zipper-handle-3000x1500-3/|https://giggearcovers.com/05-gac-2-1-pocket-3000x1500-3/|https://giggearcovers.com/06-gac-ggclogo-3000x1500-3/||,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
,Frontman-10G Combo-c-pbk-py-zy-25,,,,,Variation,Model=10G Combo|Fabric=Choice Waterproof Fabric|Color=Pitch-Black|Pick-Pocket=Yes Pick-Pocket|Zipper Handle=Yes Zipper Handle,DoesNotApply,88.50,5,Pitch-Black=https://giggearcovers.com/wp-content/ggcuploads/gac-pbk-01-c.webp|https://giggearcovers.com/02b-gac-c-3000x1500/|https://giggearcovers.com/02a-gac-l-3000x1500/|https://giggearcovers.com/03-gac-benefits-3000x1500-3/|https://giggearcovers.com/04-gac-zipper-handle-3000x1500-3/|https://giggearcovers.com/05-gac-2-1-pocket-3000x1500-3/|https://giggearcovers.com/06-gac-ggclogo-3000x1500-3/||,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
,Frontman-10G Combo-cg-pbk-pn-zn-25,,,,,Variation,Model=10G Combo|Fabric=Choice Waterproof Fabric w/ Padding|Color=Pitch-Black|Pick-Pocket=No Pick-Pocket|Zipper Handle=No Zipper Handle,DoesNotApply,62.55,5,Pitch-Black=https://giggearcovers.com/wp-content/ggcuploads/gac-pbk-01-c.webp|https://giggearcovers.com/02b-gac-c-3000x1500/|https://giggearcovers.com/02a-gac-l-3000x1500/|https://giggearcovers.com/03-gac-benefits-3000x1500-3/|https://giggearcovers.com/04-gac-zipper-handle-3000x1500-3/|https://giggearcovers.com/05-gac-2-1-pocket-3000x1500-3/|https://giggearcovers.com/06-gac-ggclogo-3000x1500-3/||,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
,Frontman-10G Combo-cg-pbk-pn-zy-25,,,,,Variation,Model=10G Combo|Fabric=Choice Waterproof Fabric w/ Padding|Color=Pitch-Black|Pick-Pocket=No Pick-Pocket|Zipper Handle=Yes Zipper Handle,DoesNotApply,74.55,5,Pitch-Black=https://giggearcovers.com/wp-content/ggcuploads/gac-pbk-01-c.webp|https://giggearcovers.com/02b-gac-c-3000x1500/|https://giggearcovers.com/02a-gac-l-3000x1500/|https://giggearcovers.com/03-gac-benefits-3000x1500-3/|https://giggearcovers.com/04-gac-zipper-handle-3000x1500-3/|https://giggearcovers.com/05-gac-2-1-pocket-3000x1500-3/|https://giggearcovers.com/06-gac-ggclogo-3000x1500-3/||,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
,Frontman-10G Combo-cg-pbk-py-zn-25,,,,,Variation,Model=10G Combo|Fabric=Choice Waterproof Fabric w/ Padding|Color=Pitch-Black|Pick-Pocket=Yes Pick-Pocket|Zipper Handle=No Zipper Handle,DoesNotApply,92.55,5,Pitch-Black=https://giggearcovers.com/wp-content/ggcuploads/gac-pbk-01-c.webp|https://giggearcovers.com/02b-gac-c-3000x1500/|https://giggearcovers.com/02a-gac-l-3000x1500/|https://giggearcovers.com/03-gac-benefits-3000x1500-3/|https://giggearcovers.com/04-gac-zipper-handle-3000x1500-3/|https://giggearcovers.com/05-gac-2-1-pocket-3000x1500-3/|https://giggearcovers.com/06-gac-ggclogo-3000x1500-3/||,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
,Frontman-10G Combo-cg-pbk-py-zy-25,,,,,Variation,Model=10G Combo|Fabric=Choice Waterproof Fabric w/ Padding|Color=Pitch-Black|Pick-Pocket=Yes Pick-Pocket|Zipper Handle=Yes Zipper Handle,DoesNotApply,104.55,5,Pitch-Black=https://giggearcovers.com/wp-content/ggcuploads/gac-pbk-01-c.webp|https://giggearcovers.com/02b-gac-c-3000x1500/|https://giggearcovers.com/02a-gac-l-3000x1500/|https://giggearcovers.com/03-gac-benefits-3000x1500-3/|https://giggearcovers.com/04-gac-zipper-handle-3000x1500-3/|https://giggearcovers.com/05-gac-2-1-pocket-3000x1500-3/|https://giggearcovers.com/06-gac-ggclogo-3000x1500-3/||,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
,Frontman-10G Combo-l-pbk-pn-zn-25,,,,,Variation,Model=10G Combo|Fabric=Premium Synthetic Leather|Color=Pitch-Black|Pick-Pocket=No Pick-Pocket|Zipper Handle=No Zipper Handle,DoesNotApply,53.90,5,Pitch-Black=https://giggearcovers.com/ggcULD/01-gac-l-3000x1500.jpg|https://giggearcovers.com/02a-gac-l-3000x1500/|https://giggearcovers.com/02b-gac-c-3000x1500/|https://giggearcovers.com/03-gac-benefits-3000x1500-3/|https://giggearcovers.com/04-gac-zipper-handle-3000x1500-3/|https://giggearcovers.com/05-gac-2-1-pocket-3000x1500-3/|https://giggearcovers.com/06-gac-ggclogo-3000x1500-3/||,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
