id,model_id,marketplace,variant_key,raw_cost_cents,base_cost_cents,retail_price_cents,marketplace_fee_cents,profit_cents,material_cost_cents,shipping_cost_cents,labor_cost_cents,weight_oz,calculated_at,shipping_settings_version_used,surface_area_sq_in,material_cost_per_sq_in_cents,labor_minutes,labor_rate_cents_per_hour,marketplace_fee_rate
5,4,DEFAULT,choice_no_padding,2314,3095,5095,764,2000,258,1065,991,3.645437250000001,2025-12-27 00:57:23.900240,3,729.0874500000002,0,35,1700,0.15
6,4,DEFAULT,choice_with_padding,4067,5295,7795,1169,2500,1367,1000,1700,13.65,2025-12-22 07:46:30.967841,,,,,,
7,4,DEFAULT,premium_no_padding,2358,3395,6395,959,3000,302,1065,991,3.645437250000001,2025-12-27 00:57:23.908609,3,729.0874500000002,0,35,1700,0.15
8,4,DEFAULT,premium_with_padding,4150,5595,9095,1364,3500,1450,1000,1700,13.65,2025-12-22 07:46:30.973379,,,,,,
11,3,amazon,choice_no_padding,2271,3095,5095,764,2000,175,1105,991,2.4668437500000002,2026-01-22 22:04:00.897469,9,493.36875000000003,0,35,1700,0.15
12,3,amazon,choice_padded,3300,4395,6895,1034,2500,495,1105,1700,4.9336875000000004,2026-01-22 22:04:00.901536,9,493.36875000000003,1,60,1700,0.15
13,3,amazon,premium_no_padding,2300,3295,6295,944,3000,204,1105,991,2.4668437500000002,2026-01-22 22:04:00.903336,9,493.36875000000003,0,35,1700,0.15
14,3,amazon,premium_padded,3329,4595,8095,1214,3500,524,1105,1700,4.9336875000000004,2026-01-22 22:04:00.905599,9,493.36875000000003,1,60,1700,0.15
15,4,amazon,choice_no_padding,2354,3195,5195,779,2000,258,1105,991,3.645437250000001,2026-01-22 22:04:00.786757,9,729.0874500000002,0,35,1700,0.15
16,4,amazon,choice_padded,3535,4695,7195,1079,2500,730,1105,1700,7.290874500000002,2026-01-22 22:04:00.790348,9,729.0874500000002,1,60,1700,0.15
17,4,amazon,premium_no_padding,2398,3395,6395,959,3000,302,1105,991,3.645437250000001,2026-01-22 22:04:00.792186,9,729.0874500000002,0,35,1700,0.15
18,4,amazon,premium_padded,3579,4895,8395,1259,3500,774,1105,1700,7.290874500000002,2026-01-22 22:04:00.793628,9,729.0874500000002,1,60,1700,0.15
25,5,DEFAULT,choice_no_padding,2334,3195,5195,779,2000,278,1065,991,3.92765625,2025-12-25 07:26:32.823402,3,785.53125,0,35,1700,0.15
26,5,DEFAULT,choice_padded,3552,4695,7195,1079,2500,787,1065,1700,7.8553125,2025-12-25 07:26:32.826890,3,785.53125,1,60,1700,0.15
27,5,DEFAULT,premium_no_padding,2381,3395,6395,959,3000,325,1065,991,3.92765625,2025-12-25 07:26:32.828840,3,785.53125,0,35,1700,0.15
28,5,DEFAULT,premium_padded,3599,4895,8395,1259,3500,834,1065,1700,7.8553125,2025-12-25 07:26:32.830947,3,785.53125,1,60,1700,0.15
29,6,DEFAULT,choice_no_padding,2508,3395,5395,809,2000,452,1065,991,6.384656250000001,2025-12-25 07:31:23.742803,3,1276.93125,0,35,1700,0.15
30,6,DEFAULT,choice_padded,4044,5295,7795,1169,2500,1279,1065,1700,12.769312500000002,2025-12-25 07:31:23.746701,3,1276.93125,1,60,1700,0.15
31,6,DEFAULT,premium_no_padding,2585,3595,6595,989,3000,529,1065,991,6.384656250000001,2025-12-25 07:31:23.748957,3,1276.93125,0,35,1700,0.15
32,6,DEFAULT,premium_padded,4121,5495,8995,1349,3500,1356,1065,1700,12.769312500000002,2025-12-25 07:31:23.751354,3,1276.93125,1,60,1700,0.15
33,7,DEFAULT,choice_no_padding,2766,3695,5695,854,2000,710,1065,991,10.030125,2025-12-25 07:31:50.412209,3,2006.025,0,35,1700,0.15
34,7,DEFAULT,choice_padded,4774,6095,8595,1289,2500,2009,1065,1700,20.06025,2025-12-25 07:31:50.415091,3,2006.025,1,60,1700,0.15
35,7,DEFAULT,premium_no_padding,2887,3995,6995,1049,3000,831,1065,991,10.030125,2025-12-25 07:31:50.416671,3,2006.025,0,35,1700,0.15
36,7,DEFAULT,premium_padded,4895,6395,9895,1484,3500,2130,1065,1700,20.06025,2025-12-25 07:31:50.418414,3,2006.025,1,60,1700,0.15
37,5,amazon,choice_no_padding,2374,3195,5195,779,2000,278,1105,991,3.92765625,2026-01-22 22:03:56.845223,9,785.53125,0,35,1700,0.15
38,5,amazon,choice_padded,3592,4695,7195,1079,2500,787,1105,1700,7.8553125,2026-01-22 22:03:56.848842,9,785.53125,1,60,1700,0.15
39,5,amazon,premium_no_padding,2421,3395,6395,959,3000,325,1105,991,3.92765625,2026-01-22 22:03:56.850782,9,785.53125,0,35,1700,0.15
40,5,amazon,premium_padded,3639,4995,8495,1274,3500,834,1105,1700,7.8553125,2026-01-22 22:03:56.852827,9,785.53125,1,60,1700,0.15
41,1,amazon,choice_no_padding,2743,3595,5595,839,2000,647,1105,991,9.132375000000001,2026-01-22 22:03:56.789300,9,1826.4750000000001,0,35,1700,0.15
42,1,amazon,choice_padded,4635,5895,8395,1259,2500,1830,1105,1700,18.264750000000003,2026-01-22 22:03:56.793497,9,1826.4750000000001,1,60,1700,0.15
43,1,amazon,premium_no_padding,2853,3895,6895,1034,3000,757,1105,991,9.132375000000001,2026-01-22 22:03:56.795020,9,1826.4750000000001,0,35,1700,0.15
44,1,amazon,premium_padded,4745,6295,9795,1469,3500,1940,1105,1700,18.264750000000003,2026-01-22 22:03:56.796396,9,1826.4750000000001,1,60,1700,0.15
45,2,amazon,choice_no_padding,2867,3795,5795,869,2000,771,1105,991,10.885875,2026-01-22 22:03:56.814433,9,2177.175,0,35,1700,0.15
46,2,amazon,choice_padded,4986,6395,8895,1334,2500,2181,1105,1700,21.77175,2026-01-22 22:03:56.818405,9,2177.175,1,60,1700,0.15
47,2,amazon,premium_no_padding,2998,4095,7095,1064,3000,902,1105,991,10.885875,2026-01-22 22:03:56.820572,9,2177.175,0,35,1700,0.15
48,2,amazon,premium_padded,5117,6695,10195,1529,3500,2312,1105,1700,21.77175,2026-01-22 22:03:56.822823,9,2177.175,1,60,1700,0.15
49,6,amazon,choice_no_padding,2548,3395,5395,809,2000,452,1105,991,6.384656250000001,2026-01-22 22:03:56.873706,9,1276.93125,0,35,1700,0.15
50,6,amazon,choice_padded,4084,5295,7795,1169,2500,1279,1105,1700,12.769312500000002,2026-01-22 22:03:56.877481,9,1276.93125,1,60,1700,0.15
51,6,amazon,premium_no_padding,2625,3695,6695,1004,3000,529,1105,991,6.384656250000001,2026-01-22 22:03:56.878935,9,1276.93125,0,35,1700,0.15
52,6,amazon,premium_padded,4161,5595,9095,1364,3500,1356,1105,1700,12.769312500000002,2026-01-22 22:03:56.880281,9,1276.93125,1,60,1700,0.15
53,7,amazon,choice_no_padding,2806,3695,5695,854,2000,710,1105,991,10.030125,2026-01-22 22:03:56.900370,9,2006.025,0,35,1700,0.15
54,7,amazon,choice_padded,4814,6195,8695,1304,2500,2009,1105,1700,20.06025,2026-01-22 22:03:56.904209,9,2006.025,1,60,1700,0.15
55,7,amazon,premium_no_padding,2927,3995,6995,1049,3000,831,1105,991,10.030125,2026-01-22 22:03:56.906033,9,2006.025,0,35,1700,0.15
56,7,amazon,premium_padded,4935,6495,9995,1499,3500,2130,1105,1700,20.06025,2026-01-22 22:03:56.908355,9,2006.025,1,60,1700,0.15
57,4,DEFAULT,choice_padded,3495,4595,7095,1064,2500,730,1065,1700,7.290874500000002,2025-12-27 00:57:23.905520,3,729.0874500000002,1,60,1700,0.15
