id,model_id,marketplace,external_id,listing_url,status,parent_external_id,created_at,updated_at
1,1,test_integrity,TEST_001,,active,,2025-12-28 03:06:35.365563,2026-01-04 23:21:50.395624
2,1,timestamp_test,TS_001,,inactive,,2025-12-28 03:15:39.859311,2026-01-04 23:21:50.396264
3,3,amazon,B0G6C7QM2H,,active,,2025-12-28 07:12:50.936258,2026-01-24 04:28:05.413635
4,9,amazon,B0G369WR4W,,,,2025-12-31 03:41:46.106023,2025-12-31 03:41:46.106032
5,10,amazon,B0G3664BM5,,,,2025-12-31 03:42:01.458139,2025-12-31 03:42:01.458143
6,8,amazon,B0G369VD17,,,,2025-12-31 03:42:14.243461,2025-12-31 03:42:14.243467
7,12,amazon,B0G48G54YP,,,,2025-12-31 03:51:54.428341,2025-12-31 03:51:54.428348
8,11,amazon,B0G487ZD28,,,,2025-12-31 03:52:04.141239,2025-12-31 03:52:04.141243
9,15,amazon,B0G488NW96,,,,2026-01-01 06:11:14.784314,2026-01-01 06:11:14.784321
10,16,amazon,B0G488GQ6L,,,,2026-01-01 06:15:40.702175,2026-01-01 06:15:40.702180
11,17,amazon,B0G48G23Y6,,,,2026-01-01 06:16:36.036860,2026-01-01 06:16:36.036867
12,27,amazon,B0GDMDXGPP,,,,2026-01-01 22:53:32.293620,2026-01-01 22:53:32.293625
13,24,amazon,B0GDM5N46R,,,,2026-01-01 22:54:00.094225,2026-01-01 22:54:00.094229
14,25,amazon,B0GDLKLYF9,,,,2026-01-01 22:54:13.828727,2026-01-01 22:54:13.828731
15,23,amazon,B0GDMF77BW,,,,2026-01-01 22:54:30.526034,2026-01-01 22:54:30.526038
16,22,amazon,B0GDLQZ1QK,,,,2026-01-01 22:54:42.561231,2026-01-01 22:54:42.561235
17,19,amazon,B0GDM5SCH8,,,,2026-01-01 22:55:08.217917,2026-01-01 22:55:08.217923
18,21,amazon,B0GDMCV7RQ,,,,2026-01-01 22:55:17.773976,2026-01-01 22:55:17.773980
19,20,amazon,B0GDLVDDL2,,,,2026-01-01 22:55:25.363893,2026-01-01 22:55:25.363897
20,26,amazon,B0GDM583H7,,,,2026-01-01 22:55:36.036633,2026-01-01 22:55:36.036637
21,29,amazon,B0GDLZSM7G,,,,2026-01-01 22:55:59.477178,2026-01-01 22:56:32.338775
22,28,amazon,B0GDM2Q71C,,,,2026-01-01 22:56:13.155401,2026-01-02 00:18:49.576323
23,33,amazon,B0GDW43YLH,,,,2026-01-03 22:42:29.186330,2026-01-03 22:42:29.186338
24,34,amazon,B0GDW9LNX2,,,,2026-01-03 22:42:29.630954,2026-01-03 22:42:29.630958
25,31,amazon,B0GDVZ1M2L,,,,2026-01-03 22:42:29.998914,2026-01-03 22:42:29.998919
26,32,amazon,B0GDW3NYRH,,,,2026-01-03 22:42:30.359082,2026-01-03 22:42:30.359087
27,77,amazon,B0GDW4KBG9,,,,2026-01-03 22:42:30.712770,2026-01-03 22:42:30.712774
28,81,amazon,B0GDWFT9KD,,,,2026-01-03 22:42:31.076019,2026-01-03 22:42:31.076023
29,79,amazon,B0GDW4V9S5,,,,2026-01-03 22:42:31.433978,2026-01-03 22:42:31.433985
30,80,amazon,B0GDW32THW,,,,2026-01-03 22:42:31.797175,2026-01-03 22:42:31.797181
31,78,amazon,B0GDVSWSJV,,,,2026-01-03 22:42:32.159925,2026-01-03 22:42:32.159930
