id,model_id,marketplace,variant_key,raw_cost_cents,base_cost_cents,retail_price_cents,marketplace_fee_cents,profit_cents,material_cost_cents,shipping_cost_cents,labor_cost_cents,weight_oz,calculated_at,pricing_context_hash,reason,surface_area_sq_in,material_cost_per_sq_in_cents,labor_minutes,labor_rate_cents_per_hour,marketplace_fee_rate
1,1,DEFAULT,choice_no_padding,2638,3495,5495,824,2000,647,1000,991,9.132375000000001,2025-12-23 06:38:02.174061,,recalculate,,,,,
2,1,DEFAULT,choice_with_padding,5030,6395,8895,1334,2500,1830,1500,1700,18.264750000000003,2025-12-23 06:38:02.179599,,recalculate,,,,,
3,1,DEFAULT,premium_no_padding,2748,3795,6795,1019,3000,757,1000,991,9.132375000000001,2025-12-23 06:38:02.181927,,recalculate,,,,,
4,1,DEFAULT,premium_with_padding,5140,6695,10195,1529,3500,1940,1500,1700,18.264750000000003,2025-12-23 06:38:02.184112,,recalculate,,,,,
5,1,DEFAULT,choice_no_padding,2930,3895,5895,884,2000,647,1000,1283,9.132375000000001,2025-12-23 06:38:02.200157,,recalculate,,,,,
6,1,DEFAULT,choice_with_padding,5530,6995,9495,1424,2500,1830,1500,2200,18.264750000000003,2025-12-23 06:38:02.204429,,recalculate,,,,,
7,1,DEFAULT,premium_no_padding,3040,4195,7195,1079,3000,757,1000,1283,9.132375000000001,2025-12-23 06:38:02.206238,,recalculate,,,,,
8,1,DEFAULT,premium_with_padding,5640,7295,10795,1619,3500,1940,1500,2200,18.264750000000003,2025-12-23 06:38:02.208032,,recalculate,,,,,
9,1,DEFAULT,choice_no_padding,2638,3495,5495,824,2000,647,1000,991,9.132375000000001,2025-12-23 06:42:20.208051,,recalculate,,,,,
10,1,DEFAULT,choice_with_padding,5030,6395,8895,1334,2500,1830,1500,1700,18.264750000000003,2025-12-23 06:42:20.219884,,recalculate,,,,,
11,1,DEFAULT,premium_no_padding,2748,3795,6795,1019,3000,757,1000,991,9.132375000000001,2025-12-23 06:42:20.224855,,recalculate,,,,,
12,1,DEFAULT,premium_with_padding,5140,6695,10195,1529,3500,1940,1500,1700,18.264750000000003,2025-12-23 06:42:20.229510,,recalculate,,,,,
13,1,DEFAULT,choice_no_padding,3222,4195,6195,929,2000,647,1000,1575,9.132375000000001,2025-12-23 06:42:20.252781,,recalculate,,,,,
14,1,DEFAULT,choice_with_padding,6030,7595,10095,1514,2500,1830,1500,2700,18.264750000000003,2025-12-23 06:42:20.260707,,recalculate,,,,,
15,1,DEFAULT,premium_no_padding,3332,4495,7495,1124,3000,757,1000,1575,9.132375000000001,2025-12-23 06:42:20.264318,,recalculate,,,,,
16,1,DEFAULT,premium_with_padding,6140,7895,11395,1709,3500,1940,1500,2700,18.264750000000003,2025-12-23 06:42:20.267704,,recalculate,,,,,
17,1,amazon,choice_no_padding,7800,9200,13000,1800,2000,4200,900,2100,48.0,2025-11-25 07:18:16.879757,,seed_demo,,,,,
18,1,amazon,choice_no_padding,8100,9500,13350,1850,2000,4500,900,2100,48.0,2025-12-02 07:18:16.879757,,seed_demo,,,,,
19,1,amazon,choice_no_padding,8300,9700,13600,1900,2000,4500,1100,2100,50.0,2025-12-09 07:18:16.879757,,seed_demo,,,,,
20,1,amazon,choice_no_padding,8300,9700,13950,1950,2300,4500,1100,2100,50.0,2025-12-16 07:18:16.879757,,seed_demo,,,,,
21,1,amazon,choice_no_padding,8600,10100,14500,2000,2400,4800,1200,2100,52.0,2025-12-23 07:18:16.879757,,seed_demo,,,,,
22,2,amazon,choice_no_padding,7800,9200,13000,1800,2000,4200,900,2100,48.0,2025-11-25 07:18:16.893864,,seed_demo,,,,,
23,2,amazon,choice_no_padding,8100,9500,13350,1850,2000,4500,900,2100,48.0,2025-12-02 07:18:16.893864,,seed_demo,,,,,
24,2,amazon,choice_no_padding,8300,9700,13600,1900,2000,4500,1100,2100,50.0,2025-12-09 07:18:16.893864,,seed_demo,,,,,
25,2,amazon,choice_no_padding,8300,9700,13950,1950,2300,4500,1100,2100,50.0,2025-12-16 07:18:16.893864,,seed_demo,,,,,
26,2,amazon,choice_no_padding,8600,10100,14500,2000,2400,4800,1200,2100,52.0,2025-12-23 07:18:16.893864,,seed_demo,,,,,
