id,name,series_id,equipment_type_id,width,depth,height,handle_length,handle_width,handle_location,angle_type,image_url,parent_sku,surface_area_sq_in,top_depth_in,angle_drop_in,handle_location_option_id,angle_type_option_id,top_handle_length_in,top_handle_height_in,top_handle_rear_edge_to_center_in,sku_override,model_notes,exclude_from_amazon_export,exclude_from_ebay_export,exclude_from_reverb_export,exclude_from_etsy_export,reverb_product_id
1,Hot Rod Deluxe,1,1,24.5,10.5,17.5,,,TOP_AMP_HANDLE,TOP_ANGLE,,FENDERXX-HOTRODXX-HOTRODDELUXEXV10000000,1826.4750000000001,,,,,,,,,,0,0,0,0,
2,Hot Rod DeVille 212,1,1,26.5,10.5,20.5,,,TOP_AMP_HANDLE,TOP_ANGLE,,,2177.175,,,,,,,,,,0,0,0,0,
3,10G,8,1,10.25,5.75,11.0,,,TOP_AMP_HANDLE,TOP_ANGLE,,FENDERXX-FRONTMAN-10GXXXXXXXXXXV10000000,493.36875000000003,,,3,16,7.5,1.25,2.75,,,0,0,0,0,
4,20G,8,1,13.25,7.13,12.4,,,TOP_AMP_HANDLE,TOP_ANGLE,,FENDERXX-FRONTMAN-20GXXXXXXXXXXV10000000,729.0874500000002,,,3,7,8.25,1.25,3.5,,,0,0,0,0,
5,25 Combo,11,1,13.75,7.5,12.75,,,TOP_AMP_HANDLE,TOP_ANGLE,,FENDERXX-CHAMPION-25COMBOXXXXXXV10000000,785.53125,,,,,,,,,,0,0,0,0,
6,50 Combo,11,1,17.25,9.0,17.25,,,TOP_AMP_HANDLE,TOP_ANGLE,,FENDERXX-CHAMPION-50COMBOXXXXXXV10000000,1276.93125,,,,,,,,,,0,0,0,0,
7,100 Combo,11,1,26.0,10.25,19.0,,,TOP_AMP_HANDLE,TOP_ANGLE,,FENDERXX-CHAMPION-100COMBOXXXXXV10000000,2006.025,,,,,,,,,,0,0,0,0,
8,60 212 Enclosure,21,1,32.0,12.0,20.88,,,NO_AMP_HANDLE,NO_ANGLE,,FENDERXX-SUPERSON-60212ENCLOSURV10000000,2735.7119999999995,,,,16,,,,,,0,0,0,0,
9,22 Combo,21,1,24.0,8.5,17.5,,,NO_AMP_HANDLE,NO_ANGLE,,FENDERXX-SUPERSON-22COMBOXXXXXXV10000000,1622.775,,,,,,,,,,0,0,0,0,
10,22 Head,21,1,24.0,8.7,9.38,,,NO_AMP_HANDLE,NO_ANGLE,,FENDERXX-SUPERSON-22HEADXXXXXXXV10000000,1082.6046,,,,,,,,,,0,0,0,0,
