id,product_type_field_id,value
2194,253,Create or Replace (Full Update)
2195,253,Edit (Partial Update)
2196,253,Delete
2197,254,INSTRUMENT_PARTS_AND_ACCESSORIES
2198,255,"Gig Gear Cover for [MANUFACTURER_NAME] [SERIES_NAME] [MODEL_NAME] [EQUIPMENT_TYPE] | Genuine Waterproof Cordura or Synthetic Leather Fabric | Select Color, Padding & Pocket Options | Made in US"
2199,256,Dust Covers For You!
2200,256,Gig Gear Covers
2201,257,EAN
2202,257,GTIN
2203,257,UPC
2204,257,ASIN
2205,257,GTIN Exempt
2206,259,Musical Instruments > Instrument Accessories > Brass Accessories (brass-instrument-accessories-and-parts)
2207,259,Musical Instruments > Instrument Accessories > Wind & Woodwind Accessories > Reeds > Bassoon (bassoon-reeds)
2208,259,Musical Instruments > Instrument Accessories > Brass Accessories > Mutes > Sousaphone (sousaphone-mutes)
2209,259,Musical Instruments > Instrument Accessories > Guitar & Bass Accessories > Bass Guitar Parts > Tailpieces (bass-guitar-tailpieces)
2210,259,Musical Instruments > Instrument Accessories > Guitar & Bass Accessories > Electric Guitar Parts > Bodies (electric-guitar-bodies)
2211,259,Musical Instruments > Instrument Accessories > Guitar & Bass Accessories > Electric Guitar Parts > Hardware (electric-guitar-hardware)
2212,259,Musical Instruments > Instrument Accessories > Drum & Percussion Accessories > Drum Set Accessories > Drumheads > Snare Drumheads (drum-set-snare-drumheads)
2213,259,Musical Instruments > Instrument Accessories > Brass Accessories > Cleaning & Care > French Horn (french-horn-cleaning-and-care-products)
2214,259,Musical Instruments > Instrument Accessories > Drum & Percussion Accessories > Hardware > Mounting Hardware > Cymbal Stackers (drum-set-cymbal-stackers)
2215,259,Musical Instruments > Instrument Accessories > Guitar & Bass Accessories > Electric Guitar Parts > Electronics (electric-guitar-electronics)
2216,259,Musical Instruments > Instrument Accessories > Guitar & Bass Accessories > Bass Guitar Parts > Nuts (bass-guitar-nuts)
2217,259,Musical Instruments > Instrument Accessories > Drum & Percussion Accessories > Concert Percussion Accessories > Cymbal & Gong Accessories > Sizzlers (cymbal-chain-sizzlers)
2218,259,Musical Instruments > Instrument Accessories > Drum & Percussion Accessories > Drum Set Accessories > Drum Accessories > Bongo Accessories (bongo-accessories-and-parts)
2219,259,Musical Instruments > Instrument Accessories > Guitar & Bass Accessories > Electric Guitar Parts > Bridges & Bridge Parts (electric-guitar-bridges-and-bridge-parts)
2220,259,Musical Instruments > Instrument Accessories > Guitar & Bass Accessories > Acoustic & Classical Guitar Parts > Pickups & Pickup Covers (acoustic-guitar-pickups-and-pickup-covers)
2221,259,Musical Instruments > Instrument Accessories > Drum & Percussion Accessories > Concert Percussion Accessories > Drum Accessories > Snare Drum Accessories > Snare Drum Wire (snare-drum-wire)
2222,259,Musical Instruments > Instrument Accessories > Orchestral Strings Accessories & Parts > Parts > Viola (viola-parts)
2223,259,Musical Instruments > Instrument Accessories > Guitar & Bass Accessories > Acoustic & Classical Guitar Parts > Hardware (acoustic-guitar-hardware)
2224,259,Musical Instruments > Instrument Accessories > Guitar & Bass Accessories (guitar-accessories-and-parts)
2225,259,Musical Instruments > Instrument Accessories > Drum & Percussion Accessories > Cleaning & Care (percussion-instrument-cleaning-and-care-products)
2226,259,Musical Instruments > Instrument Accessories > Folk & World Instrument Accessories > Mandolin Accessories (mandolin-accessories-and-parts)
2227,259,Musical Instruments > Instrument Accessories > Wind & Woodwind Accessories > Ligatures > Ligatures (clarinet-ligatures)
2228,259,"Musical Instruments > Instrument Accessories > Drum & Percussion Accessories > Bags, Cases & Covers > Bass Drum Bags, Cases & Covers (concert-bass-drum-bags-cases-and-covers)"
2229,259,Musical Instruments > Instrument Accessories > Wind & Woodwind Accessories > Ligatures > Saxophone > Baritone Sax (baritone-saxophone-ligatures)
2230,259,Musical Instruments > Instrument Accessories > Drum & Percussion Accessories > Concert Percussion Accessories > Vibraphone Accessories (vibraphone-accessories-and-parts)
2231,259,Musical Instruments > Live Sound & Stage > Bags & Cases (stage-and-studio-equipment-bags-and-cases)
2232,259,Musical Instruments > Instrument Accessories > Drum & Percussion Accessories > Marching Percussion Accessories > Drum Accessories > Tom-Tom Accessories (marching-tom-tom-accessories)
2233,259,Musical Instruments > Instrument Accessories > Wind & Woodwind Accessories > Parts > Oboe (oboe-parts)
2234,259,Musical Instruments > Instrument Accessories > Brass Accessories > Cleaning & Care > Trombone (trombone-cleaning-and-care-products)
2235,259,Musical Instruments > Instrument Accessories > Guitar & Bass Accessories > Electric Guitar Parts > Necks (electric-guitar-necks)
2236,259,Musical Instruments > Instrument Accessories > Orchestral Strings Accessories & Parts > Parts > Cello (cello-parts)
2237,259,Musical Instruments > Instrument Accessories > Brass Accessories > Mouthpieces > French Horn (french-horn-mouthpieces)
2238,259,Musical Instruments > Instrument Accessories > Drum & Percussion Accessories > Concert Percussion Accessories > Xylophone Accessories (xylophone-accessories-and-parts)
2239,259,Musical Instruments > Instrument Accessories > Wind & Woodwind Accessories > Ligatures > Saxophone > Tenor Sax (tenor-saxophone-ligatures)
2240,259,Musical Instruments > Instrument Accessories > Orchestral Strings Accessories & Parts > Parts > Upright Bass (string-bass-parts)
2241,259,"Musical Instruments > Instrument Accessories > Keyboard Accessories > Bags, Cases & Covers (piano-and-keyboard-cases-and-covers)"
2242,259,Musical Instruments > Instrument Accessories > Brass Accessories > Mouthpieces > Sousaphone (sousaphone-mouthpieces)
2243,259,Musical Instruments > Amplifiers & Effects > Guitar Effects > Bass Guitar Effects > Modulation Effects (bass-guitar-modulation-effects)
2244,259,Musical Instruments > Instrument Accessories > Drum & Percussion Accessories > Drumheads > Bongo Drumheads (bongo-drumheads)
2245,259,Musical Instruments > Instrument Accessories > Drum & Percussion Accessories > Hardware > Mounting Hardware > Racks (drum-set-racks)
2246,259,Musical Instruments > Instrument Accessories > Guitar & Bass Accessories > Bass Guitar Parts > Tuning Machines (bass-guitar-tuning-keys)
2247,259,Musical Instruments > Instrument Accessories > Wind & Woodwind Accessories > Parts > Bassoon (bassoon-parts)
2248,259,Musical Instruments > Instrument Accessories > Orchestral Strings Accessories & Parts > Bows > Viola (viola-bows)
2249,259,Musical Instruments > Instrument Accessories > Drum & Percussion Accessories > Drum Set Accessories > Drum Keys & Wrenches (percussion-tools)
2250,259,Musical Instruments > Instrument Accessories > Drum & Percussion Accessories > Marching Percussion Accessories > Drum Accessories > Snare Drum Accessories (marching-snare-drum-accessories)
2251,259,Musical Instruments > Instrument Accessories > Wind & Woodwind Accessories > Ligatures > Saxophone > Bass Sax (bass-saxophone-ligatures)
2252,259,Musical Instruments > Instrument Accessories > Guitar & Bass Accessories > Bass Guitar Parts > Saddles (bass-guitar-saddles)
2253,259,Musical Instruments > Instrument Accessories > Wind & Woodwind Accessories > Reeds > Oboe (oboe-reeds)
2254,259,Musical Instruments > Instrument Accessories > Guitar & Bass Accessories > Acoustic & Classical Guitar Parts > Tuning Pegs (acoustic-guitar-tuning-keys)
2255,259,Musical Instruments > Instrument Accessories > Folk & World Instrument Accessories > Dulcimer Accessories (dulcimer-accessories-and-parts)
2256,259,Musical Instruments > Instrument Accessories > Guitar & Bass Accessories > Tools (guitar-tools)
2257,259,Musical Instruments > Instrument Accessories > Brass Accessories > Mutes > French Horn (french-horn-mutes)
2258,259,Musical Instruments > Instrument Accessories > Wind & Woodwind Accessories > Parts > Saxophone (saxophone-parts)
2259,259,Musical Instruments > Instrument Accessories > Guitar & Bass Accessories > Slides (guitar-slides)
2260,259,Musical Instruments > Instrument Accessories > Wind & Woodwind Accessories > Mouthpieces > Saxophone > Alto Sax (alto-saxophone-mouthpieces)
2261,259,Musical Instruments > Instrument Accessories > Wind & Woodwind Accessories > Cleaning & Care > Clarinets (clarinet-cleaning-and-care-products)
2262,259,Musical Instruments > Instrument Accessories > Wind & Woodwind Accessories > Parts > Flute (flute-parts)
2263,259,Musical Instruments > Instrument Accessories > Guitar & Bass Accessories > Electric Guitar Parts > Frets (electric-guitar-frets)
2264,259,Musical Instruments > Instrument Accessories > Orchestral Strings Accessories & Parts > Cleaning & Care (orchestral-string-instrument-cleaning-and-care-products)
2265,259,Musical Instruments > Instrument Accessories > Brass Accessories > Cleaning & Care > Alto Horn (alto-horn-cleaning-and-care-products)
2266,259,Musical Instruments > Instrument Accessories > Drum & Percussion Accessories > Drum Set Accessories > Drumheads > Bass Drumheads (drum-set-bass-drumheads)
2267,259,Musical Instruments > Instrument Accessories > Orchestral Strings Accessories & Parts > Rosin > Cello (cello-rosin)
2268,259,Musical Instruments > Instrument Accessories > Keyboard Accessories (keyboard-instrument-accessories-and-parts)
2269,259,"Musical Instruments > Instrument Accessories > Drum & Percussion Accessories > Bags, Cases & Covers > Bongo Bags, Cases & Covers (bongo-bags-cases-and-covers)"
2270,259,Musical Instruments > Instrument Accessories > Guitar & Bass Accessories > Bass Guitar Parts > Frets (bass-guitar-frets)
2271,259,Musical Instruments > Instrument Accessories > Wind & Woodwind Accessories > Reeds > English Horn (english-horn-reeds)
2272,259,Musical Instruments > Instrument Accessories > Drum & Percussion Accessories > Concert Percussion Accessories > Metallophone Accessories (metallophone-accessories-and-parts)
2273,259,Musical Instruments > Instrument Accessories > Keyboard Accessories > Expansion Boards & Sound Libraries (electronic-keyboard-expansion-boards-and-sound-libraries)
2274,259,Musical Instruments > Instrument Accessories > Brass Accessories > Mutes > Cornet (cornet-mutes)
2275,259,Musical Instruments > Instrument Accessories > Wind & Woodwind Accessories > Reeds > Saxophone > Soprano Sax (soprano-saxophone-reeds)
2276,259,Musical Instruments > Instrument Accessories > Brass Accessories > Mutes > Baritone Horn (baritone-horn-mutes)
2277,259,Musical Instruments > Instrument Accessories > Wind & Woodwind Accessories > Ligatures > Saxophone > Alto Sax (alto-saxophone-ligatures)
2278,259,Musical Instruments > Instrument Accessories > Wind & Woodwind Accessories > Ligatures > Saxophone > Soprano Sax (soprano-saxophone-ligatures)
