id,reverb_field_id,value
1,1,TRUE
2,1,FALSE
3,2,"[MANUFACTURER_NAME] [SERIES_NAME] [MODEL_NAME] Ultimate [EQUIPMENT_TYPE] Cover | Choose your Color, Fabric, Pocket, Padding & more | Made in the US"
4,3,Brand New
5,4,10
8,10,accessories
9,11,amp-covers
10,28,TRUE
11,28,FALSE
12,30,FALSE
14,33,TRUE
15,33,FALSE
16,34,US
27,31,Free_Shipping
28,31,Paid_Shipping
30,6,[Manufacturer_Name]
31,7,[Series_Name] [Model_Name]
32,12,https://giggearcovers.com/amazon-images/[MANUFACTURER_NAME]/[SERIES_NAME]/[MANUFACTURER_NAME]_[SERIES_NAME]_[MODEL_NAME]_[EQUIPMENT_TYPE]_Cover_001.jpg
33,13,https://giggearcovers.com/amazon-images/[MANUFACTURER_NAME]/[SERIES_NAME]/[MANUFACTURER_NAME]_[SERIES_NAME]_[MODEL_NAME]_[EQUIPMENT_TYPE]_Cover_002.jpg
34,14,https://giggearcovers.com/amazon-images/[MANUFACTURER_NAME]/[SERIES_NAME]/[MANUFACTURER_NAME]_[SERIES_NAME]_[MODEL_NAME]_[EQUIPMENT_TYPE]_Cover_003.jpg
35,15,https://giggearcovers.com/amazon-images/[MANUFACTURER_NAME]/[SERIES_NAME]/[MANUFACTURER_NAME]_[SERIES_NAME]_[MODEL_NAME]_[EQUIPMENT_TYPE]_Cover_004.jpg
36,16,https://giggearcovers.com/amazon-images/[MANUFACTURER_NAME]/[SERIES_NAME]/[MANUFACTURER_NAME]_[SERIES_NAME]_[MODEL_NAME]_[EQUIPMENT_TYPE]_Cover_005.jpg
37,18,https://giggearcovers.com/amazon-images/[MANUFACTURER_NAME]/[SERIES_NAME]/[MANUFACTURER_NAME]_[SERIES_NAME]_[MODEL_NAME]_[EQUIPMENT_TYPE]_Cover_007.jpg
38,19,https://giggearcovers.com/amazon-images/[MANUFACTURER_NAME]/[SERIES_NAME]/[MANUFACTURER_NAME]_[SERIES_NAME]_[MODEL_NAME]_[EQUIPMENT_TYPE]_Cover_008.jpg
39,20,https://giggearcovers.com/amazon-images/[MANUFACTURER_NAME]/[SERIES_NAME]/[MANUFACTURER_NAME]_[SERIES_NAME]_[MODEL_NAME]_[EQUIPMENT_TYPE]_Cover_009.jpg
40,5,[SKU]
41,9,[REVERB_PRICE_CHOICE_NP]
42,9,[REVERB_PRICE_CHOICE_P]
43,9,[REVERB_PRICE_PREMIUM_NP]
44,9,[REVERB_PRICE_PREMIUM_P]
